board,moving_colour,move
01000000000000000000000001000000000000100000000000010000010000000000000000000100000000000010100000000000/10000000000001000000000000000000000000100000000000010001000000000000000000000110000000000001000000000000/00000000000010000000000001100000000000000000000000010000000010000000000000000100010000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000100000000000010000000000100000000000000000000100000000000010000000000001/00000010000000000001000000000000000000100000000000010000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,f2e3
01000000000000000000000001000000000000100000000000010000010000000000000000000100000000000010100000000000/10000000000001000000000000000000000000100000000000010001000000000000000000000110000000000001000000000000/00000000000010000000000001100000000000000000000000010000000010000000000000000100010000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000100000000000010000000000001000000000000000000100000000000010000000000001/00000010000000000001000000000000000000100000000000010000000000001000000000000100000010000000000001000000/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,e8d7
01000000000000000000000001000000000000100000000000010000000000001000000000000100000000000010100000000000/10000000000001000000000000000000000000100000100000000001000000000000000000000110000000000001000000000000/00000000000010000000000001100000000000000000000000010000000010000000000000000100010000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000100000000000010000000000001000000000000000000100000000000010000000000001/00000010000000000001000000000000000000100000000000010000000000001000000000000100000010000000000001000000/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,e6f4
01000000000000000000000001000000000000100000000000010000000000001000000000000100000000000010100000000000/10000000000001000000000000000000000000100000100000000001000000000000000000000110000000000001000000000000/00000000000010000000000001100000000000000000000000010000000000001000000000000100010000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000001000000000000000010000000000001/00000000000010000000000001000000100000000000010000000000001000000000000000000100000000000010000000000001/00000010000000000001000000000000000000100000000000010000000000001000000000000100000010000000000001000000/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,e7d6
01000000000000000000000001000000000000100000000000010000000000001000000000000100000000000010100000000000/10000000000001000000000000000000000000100000100000000000000000001000000000000110000000000001000000000000/00000000000010000000000001100000000000000010000000000000000000001000000000000100010000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000001000000000000000010000000000001/00000000000010000000000001000000100000000000010000000000001000000000000000000100000000000010000000000001/00000010000000000001000000000000000000100000000000010000000000001000000000000100000010000000000001000000/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,f4g6
01000000000000000000000001000000000000100000000000010000000000001000000000000100000000000010100000000000/10000000000001000000000000000000000000100000100000000000000000001000000000000110000000000001000000000000/00000000000010000000000001100000000000000010000000000000000000001000000000000100000000100000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000100000000000010000000000001000000000000000000100000000000010000000000001/00000010000000000001000000000000000000100000000000010000000000001000000000000100000010000000000001000000/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,h7g6
01000000000000000000000001000000000000100000000000010000000000001000000000000100000000000010100000000000/10000000000001000000000000000000000000100000100000000000000000001000000000000110000000000000000000000001/00000000000010000000000001100000000000000010000000000000000000001000000000000110000000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000100000000000010000000000001000000000000000000100000000000010000000000001/00000010000000000001000000000000000000100000000000010000000000001000000000000100000010000000000001000000/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,h2h3
01000000000000000000000001000000000000100000000000010000000000001000000000000100000000000010100000000000/10000000000001000000000000000000000000100000100000000000000000001000000000000110000000000000000000000001/00000000000010000000000001100000000000000010000000000000000000001000000000000110000000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000100000000000010000000000001000000000000000000100000000000010000001000000/00000010000000000001000000000000000000100000000000010000000000001000000000000100000010000000000000000001/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,d6g3
01000000000000000000000001000000000000100000000000010000000000001000000000000100000000000010100000000000/10000000000001000000000000000000000000100000100000000000000000001000000000000110000000000000000000000001/00000000000010000000000001100000000000000000000000010000000000001000000000000110000000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000100000000000010000000000001000000000000000000100010000000000000001000000/00000010000000000001000000000000000000100000000000010000000000001000000000000100000010000000000000000001/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,e1d2
01000000000000000000000001000000000000100000000000010000000000001000000000000100000000000010100000000000/10000000000001000000000000000000000000100000100000000000000000001000000000000110000000000000000000000001/00000000000010000000000001100000000000000000000000010000000000001000000000000110000000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000100000000000010000000000001000000000000000000100010000000000000001000000/00000010000000000001000000000000000000100000000000100000000000001000000000000100000010000000000000000001/00000001000000000000000001000000000000100000000000010000000000001000000000000100000000000010000000100000,1,a8f8
00000000000010000000000001000000000000100000000000010000000000001010000000000000000000000010100000000000/10000000000001000000000000000000000000100000100000000000000000001000000000000110000000000000000000000001/00000000000010000000000001100000000000000000000000010000000000001000000000000110000000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000100000000000010000000000001000000000000000000100010000000000000001000000/00000010000000000001000000000000000000100000000000100000000000001000000000000100000010000000000000000001/00000001000000000000000001000000000000100000000000010000000000001000000000000100000000000010000000100000,1,h1f1
00000000000010000000000001000000000000100000000000010000000000001010000000000000000000000010100000000000/10000000000001000000000000000000000000100000100000000000000000001000000000000110000000000000000000000001/00000000000010000000000001100000000000000000000000010000000000001000000000000110000000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000100000000000010000000000001000000000000000000100010000000000000001000000/00000010000000000001000000000000000000100000000000100000000000001000000000000100000010000000000000000001/00000001000000000000000001000000000000100000000000010000000000001000000010000000000000000010000000000001,1,d7e7
